candidate,latitude,longitude,mean_accessibility_gain,coverage_gain,neighbourhoods_improved,mean_distance_reduction_m,population_benefited,directly_reached_population,candidate_population,overall_impact_score,simulation_score,service_type,objective
mahuella tauladella,39.544068469913306,-0.336135965967794,1.0971120550596838,1,2,109.71120550596838,9919,7152,7152,45.0,45.0,sports facilities,Prioritise underserved neighbourhoods
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.0971120550597084,1,2,109.71120550597084,8657,7152,7152,38.5,38.5,sports facilities,Prioritise underserved neighbourhoods
arrancapins,39.464098529813356,-0.3842650020414394,0.24964629717687045,2,3,24.964629717687046,75575,101232,23611,70.0,70.0,sports facilities,Balanced impact
el saler,39.3519159624178,-0.3173995552550035,2.7723006877263843,1,3,277.23006877263845,2952,2030,2030,50.4,50.4,sports facilities,Balanced impact
el palmar,39.33513789501845,-0.3515391664915657,2.763733439293472,1,3,276.3733439293472,2164,759,759,49.9,49.9,sports facilities,Balanced impact
el perellonet,39.29640631975548,-0.2941560038366502,2.423011696435654,1,3,242.30116964356537,2132,1596,1596,45.8,45.8,sports facilities,Balanced impact
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.0971120550597084,1,2,109.71120550597084,8657,7152,7152,13.6,13.6,sports facilities,Balanced impact
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.028977002079573,1,2,102.8977002079573,8449,7152,7152,60.0,60.0,social services,Reach the largest population
benicalap,39.49300556640789,-0.3910023886392156,0.02385853028642416,0,1,2.385853028642416,67269,56327,44570,40.4,40.4,social services,Reach the largest population
torrefiel,39.49519797034043,-0.37693215054694523,0.011026516007894803,0,1,1.1026516007894804,55671,54146,27938,32.1,32.1,social services,Reach the largest population
malilla,39.44475150674449,-0.3771846256258872,0.040243733903703255,0,1,4.024373390370325,45366,39550,26253,26.0,26.0,social services,Reach the largest population
sant pau,39.48666824896756,-0.4106066675830086,0.08607967037716589,0,1,8.60796703771659,31593,19098,19098,18.0,18.0,social services,Reach the largest population
mahuella tauladella,39.544068469913306,-0.336135965967794,1.0289770020795486,1,2,102.89770020795483,9847,7152,7152,65.3,65.3,social services,Reduce average distance
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.028977002079573,1,2,102.8977002079573,8449,7152,7152,64.5,64.5,social services,Reduce average distance
